checkintime,checkinid,userid,checkintype
2024-06-01T05:55:11Z,"122,459,383",93781539,Away ELITE member
2024-06-01T05:55:44Z,"122,219,911",96936514,Away ELITE member
2024-06-01T05:57:09Z,"122,470,390",31785517,Away ELITE member
2024-06-01T05:57:47Z,"122,484,564",95297461,Away ELITE member
2024-06-01T05:58:22Z,"122,443,592",1364859,Away ELITE member
2024-06-01T05:58:40Z,"122,351,104",98413409,Away ELITE member
2024-06-01T05:59:25Z,"122,427,762",94009736,Away ELITE member
2024-06-01T06:01:23Z,"37,735,508",97356262,Tagged Member
2024-06-01T06:01:28Z,"122,469,264",62861651,Away ELITE member
2024-06-01T06:03:30Z,"37,735,628",97205184,Tagged Member
2024-06-01T06:04:37Z,"122,510,886",94657105,Away ELITE member
2024-06-01T06:09:20Z,"37,735,988",58199386,Tagged Member
2024-06-01T06:09:33Z,"37,736,002",97343669,Tagged Member
2024-06-01T06:10:42Z,"37,736,075",95285513,Tagged Member
2024-06-01T06:19:41Z,"122,489,192",95254856,Away ELITE member
2024-06-01T06:31:56Z,"37,737,409",37193543,Tagged Member
2024-06-01T06:34:52Z,"37,737,615",485065,Tagged Member
2024-06-01T06:42:57Z,"122,506,812",55630195,Away ELITE member
2024-06-01T06:45:20Z,"37,738,359",97912529,Away ELITE member
2024-06-01T06:48:22Z,"122,482,392",95206345,Away ELITE member
2024-06-01T06:49:16Z,"37,738,626",96105725,Tagged Member
2024-06-01T06:49:22Z,"37,738,640",94376415,Tagged Member
2024-06-01T06:50:33Z,"122,476,102",13238882,Away ELITE member
2024-06-01T06:50:55Z,"122,443,618",12587192,Away ELITE member
2024-06-01T06:52:49Z,"122,315,579",28873287,Away ELITE member
2024-06-01T06:53:45Z,"122,443,460",96564471,Away ELITE member
2024-06-01T06:53:55Z,"122,489,570",65900200,Away ELITE member
2024-06-01T06:55:03Z,"122,488,173",94668693,Away ELITE member
2024-06-01T06:55:25Z,"122,484,631",6755340,Away ELITE member
2024-06-01T06:56:11Z,"122,477,012",90834993,Away ELITE member
2024-06-01T06:56:36Z,"122,527,651",183820,Away ELITE member
2024-06-01T06:56:45Z,"122,465,313",64360494,Away ELITE member
2024-06-01T06:56:54Z,"122,465,338",4690251,Away ELITE member
2024-06-01T06:57:03Z,"122,522,241",91395865,Away ELITE member
2024-06-01T06:58:33Z,"122,485,657",51904436,Away ELITE member
2024-06-01T06:59:21Z,"122,427,767",94009736,Away ELITE member
2024-06-01T07:01:33Z,"37,739,609",98413409,Tagged Member
2024-06-01T07:02:17Z,"37,739,682",96936514,Tagged Member
2024-06-01T07:02:29Z,"122,388,644",1031889,Away ELITE member
2024-06-01T07:03:25Z,"37,739,777",94751895,Tagged Member
2024-06-01T07:27:06Z,"37,741,778",23339436,Away ELITE member
2024-06-01T07:29:29Z,"37,741,957",186148,Away ELITE member
2024-06-01T07:41:03Z,"122,482,856",24785412,Away ELITE member
2024-06-01T07:43:22Z,"37,743,154",55247084,Away ELITE member
2024-06-01T07:43:42Z,"37,743,187",96137755,Tagged Member
2024-06-01T07:43:43Z,"122,257,161",90116263,Away ELITE member
2024-06-01T07:44:22Z,"122,524,997",64360494,Away ELITE member
2024-06-01T07:49:36Z,"122,261,043",90834993,Away ELITE member
2024-06-01T07:49:44Z,"122,348,590",82626217,Away ELITE member
2024-06-01T07:51:23Z,"122,524,995",92963738,Away ELITE member
2024-06-01T07:52:17Z,"122,508,185",97912529,Away ELITE member
2024-06-01T07:52:55Z,"122,217,975",88073625,Away ELITE member
2024-06-01T07:53:07Z,"122,219,961",97024801,Away ELITE member
2024-06-01T07:53:16Z,"122,245,465",1349815,Away ELITE member
2024-06-01T07:53:53Z,"122,254,543",49684818,Away ELITE member
2024-06-01T07:54:38Z,"122,300,490",13706698,Away ELITE member
2024-06-01T07:54:57Z,"122,299,671",15888207,Away ELITE member
2024-06-01T07:55:08Z,"122,266,281",24014640,Away ELITE member
2024-06-01T07:55:57Z,"37,744,242",98587284,TRIAL
2024-06-01T07:56:51Z,"122,515,444",27629985,Away ELITE member
2024-06-01T07:56:59Z,"122,293,690",4690251,Away ELITE member
2024-06-01T07:57:26Z,"122,340,471",1600979,Away ELITE member
2024-06-01T07:57:46Z,"122,525,718",88763183,Away ELITE member
2024-06-01T07:58:01Z,"122,524,998",94635122,Away ELITE member
2024-06-01T07:58:40Z,"122,295,405",92708366,Away ELITE member
2024-06-01T07:58:49Z,"122,293,598",92757322,Away ELITE member
2024-06-01T07:59:27Z,"122,276,425",40119957,Away ELITE member
2024-06-01T07:59:43Z,"122,499,186",20114086,Away ELITE member
2024-06-01T08:00:17Z,"122,513,656",47963251,Away ELITE member
2024-06-01T08:00:25Z,"122,300,511",47628620,Away ELITE member
2024-06-01T08:01:43Z,"122,515,344",22884629,Away ELITE member
2024-06-01T08:02:19Z,"122,519,257",62861651,Away ELITE member
2024-06-01T08:03:48Z,"37,745,058",90010745,Away ELITE member
2024-06-01T08:06:40Z,"37,745,339",949150,Away ELITE member
2024-06-01T08:22:52Z,"37,746,785",9493423,Away ELITE member
2024-06-01T08:27:20Z,"37,747,173",94372898,Tagged Member
2024-06-01T08:29:57Z,"37,747,387",90471140,Tagged Member
2024-06-01T08:41:50Z,"37,748,347",51933842,Tagged Member
2024-06-01T08:51:40Z,"122,536,670",93795269,Away ELITE member
2024-06-01T08:51:48Z,"122,536,352",532279,Away ELITE member
2024-06-01T08:51:57Z,"122,359,431",88763183,Away ELITE member
2024-06-01T08:52:25Z,"122,537,734",15888207,Away ELITE member
