Art-Oil Painting,Art-Watercolor Painting,Art-Pastel Painting,Art-Pencil Drawing,Art-Charcoal Drawing,Art-Ink Illustration,Art-Woodcut Printing,Art-Linocut Printing,Art-Etching,Art-Calligraphy,Art-Ceramics,Art-Textile Arts
2.180142146,0.853820489,0.772541475,0.866150544,-0.962703724,-0.011460574,-0.975668478,-0.039855342,-0.312154987,-0.060358669,-0.138833813,-0.08985868
-0.240345272,0.143385657,-0.588783914,-0.954916173,-0.723805474,-0.374382954,-0.937794837,-1.058986749,-0.6258428,-1.047312423,-1.556341343,-2.445452266
-2.263931485,-1.819808683,-1.764427131,-1.152108128,-1.13395127,-1.624539232,-1.531474439,-1.128705974,-1.387550473,-0.605253243,-2.290381828,-1.897666876
0.013950056,-0.731999043,0.485828551,-0.119463542,0.057674574,-0.594480663,-0.223335933,0.52819616,-0.389098524,0.627506895,-0.236582216,0.881542413
0.227312643,2.105261289,0.598958893,0.247577042,-0.156591196,0.477405018,0.095529344,0.307328837,0.117703596,0.904792916,1.005162743,-2.029125869
-0.964576924,-0.622904969,1.32992982,0.506569413,-0.944867493,-0.677321014,-0.086242304,-0.612465915,-0.214216103,-1.072170496,0.510274185,1.115345853
-0.417634023,-1.535665985,-0.865085069,0.649879408,-0.138681601,1.663942785,1.43239917,1.369878438,0.89364381,0.998579117,-0.074638692,0.403259138
-0.642615592,-1.499358115,-1.408868794,0.098509429,0.454319735,0.201379732,0.318131527,0.768843841,0.351852452,0.060869877,-1.022128255,-0.438142863
3.052785668,1.661824108,1.28760674,1.546221397,2.00107289,0.558220294,-0.259832593,0.525440582,0.517315486,-0.480049593,1.032814382,0.947064444
-0.885851949,-0.215377134,-0.729587898,-0.512129984,-0.151602557,-1.32725384,-1.290351614,-1.397998982,-2.147174953,-2.504450467,-0.455325009,-0.484548338
-0.440712225,0.954689704,1.124430862,-0.478107471,-0.79990178,0.348826675,-0.248975559,-0.705332041,-0.730062105,-0.913641515,0.133539878,0.034707894
-2.131712733,-0.974052521,-0.200235986,-0.000308209,-0.377167565,-1.522326318,-0.68546509,-1.304822583,-1.152937435,-0.643202215,0.477464055,-0.226218109
1.317400653,1.857712293,1.871961995,1.291566102,1.195575952,2.097984052,1.397768282,1.002700773,1.71531082,0.856421667,0.821327129,-0.052981496
-0.418076523,-0.125342492,-0.385723231,-0.27062883,-0.390698682,1.440195461,0.979735621,0.970183449,0.673291032,0.421793951,-0.375860688,0.439875163
0.01265882,0.590386557,1.283248745,-0.218165352,-0.17374055,0.820891625,1.840686522,2.023955583,2.12313385,-0.225754621,1.97047314,1.837099426
-0.179690675,0.180326103,1.023377922,0.692864774,0.693363241,-1.522765802,-1.414380957,-0.352640601,-1.058382058,-1.514204754,-0.784581506,-0.248288185
-0.586478641,-1.053821221,-0.519276869,-1.063324115,-0.852780076,-1.728696698,-0.186393541,-1.08549904,-1.200233652,0.609834025,-0.052229819,0.332195699
-0.046099125,0.905530831,-1.166735241,-0.755321148,-0.637895846,-0.738082241,-0.556915045,0.077019371,-0.454834382,-0.102935333,-0.068970971,-0.912471244
0.674939189,0.543503595,-1.006804277,-0.045657777,0.901876529,0.121314507,0.865798161,0.392011775,0.368976488,-1.107100099,-0.313724952,-0.87558509
-1.909444537,-0.813477191,-0.771627797,-0.832299531,-0.712524173,1.060540798,0.882158906,0.635820746,-0.241431288,-0.412497058,-0.906001631,0.771965029
0.183351709,0.994081193,-0.621086214,-0.485327185,-0.06311866,-0.324837019,-0.19352669,-0.900276045,-1.250703152,-0.468291256,0.293394155,0.118469447
-0.184509784,-0.736992936,0.240992038,1.372216856,1.392323891,1.840158064,1.403044631,0.603264411,0.963741628,0.544975595,-0.596137151,0.339565293
0.632999653,1.334028854,0.954906036,0.248467921,-0.996233969,1.270124215,-0.737177003,0.123365495,1.000520851,1.575347834,-0.768944617,-0.61163978
0.878124132,-0.017396713,0.27219287,1.080789379,-0.077505028,-0.695202367,-0.261480895,-0.06136945,-0.954536538,-0.287559526,1.044294799,0.283277113
-0.326115134,-0.208132664,-0.508820381,0.906107508,0.613578285,-1.141124184,-0.222645668,-0.387259275,-0.256113506,-1.103766299,-0.160648856,0.169579608
-0.20105089,-0.203709368,-0.200746531,0.355135302,-0.761069525,-0.926323298,0.002274364,-0.619088183,-0.589897254,-0.915457935,0.41253533,0.614146603
0.37677233,0.746751649,-0.056604111,-0.497995377,-0.187730357,0.465950523,-0.810243202,-0.394682685,-0.89337155,-0.600819085,-2.142504952,-1.985873381
0.921856794,0.785512695,-0.103623411,0.562258795,-0.470307796,1.15358535,0.33558417,1.473477535,1.641117633,0.337262455,0.136555698,0.443818637
0.019481056,0.547163448,-0.882533928,0.730943128,1.21955583,0.435597698,0.283964172,0.211365907,0.267956242,0.510712796,0.397172391,0.213313789
-1.429365992,0.03870628,-1.606590416,-1.591045136,-1.623818153,0.3813482,-0.041880203,-0.265118281,-0.494233323,0.002192512,-0.755134038,-2.223914439
0.92786991,0.904162831,1.732116255,1.442651968,2.828646137,0.522787194,1.728427692,1.436716616,1.448625474,1.342786329,2.350149147,0.918895055
-2.814351446,-1.862333579,-2.582025048,-1.980944431,-1.400694125,-1.067769344,-0.111061206,0.084664092,-0.375814671,-0.241902977,-2.571773285,-2.531160965
-0.12262871,1.316162156,1.197596199,0.439969134,1.01501538,-0.20892452,0.087620878,0.064847484,0.107976296,-0.675658687,1.570558684,0.950336555
1.003130304,0.960809777,1.408790217,1.281917501,1.204339462,-0.35236885,0.095334576,-0.451302503,0.276813171,1.707821069,0.528013233,0.068433664
0.277824189,1.641615308,0.440510003,1.173083176,0.525037224,-0.034157352,0.55207073,1.426549327,0.910539468,-0.107094387,0.886224087,-0.023085974
1.437881656,0.502014609,-0.49260907,-0.481499587,0.656122683,1.362150742,-0.017814143,0.06054574,1.32675808,1.386535008,-0.439623861,0.014162445
0.478931465,0.493525895,2.134426502,0.540895525,0.045310566,1.128640093,0.149094706,1.232146849,0.678696485,-0.412116837,0.45428921,0.150342451
-0.536946543,-0.298711735,-1.697490908,0.330798615,-0.965504534,0.302687702,0.267250119,-1.175324935,0.125471378,0.529456973,-2.381833921,-1.482488676
1.302865822,0.594663178,1.648027017,0.907837223,0.63498238,-0.274399497,-0.409295262,-0.974943895,0.342044642,-1.952761101,0.434364194,1.71117678
-1.654087585,-1.263007719,-0.519032609,-1.935577226,-0.846131209,-0.07729599,0.029724224,0.152902034,0.22228052,-1.619467165,-1.213463832,-1.441017383
-0.316909767,0.097489423,-0.135504623,-1.720240559,-1.196971768,-1.50488037,-1.12212427,-1.058373798,-1.024776186,-0.113049202,-0.771648952,-0.172348003
1.007444907,1.212527355,1.317007996,1.363197165,0.004180138,-0.601383311,0.039530754,-0.286532264,-0.096370509,-0.51339794,0.588886531,0.821783378
-0.462141965,-2.117217381,-0.804846807,-0.082644037,0.572813164,-1.625706024,-1.013283414,-1.853438522,-0.488086267,-0.505664744,-0.654554176,-0.710882262
-1.213793589,-0.846334822,-0.501777044,0.168320721,0.2997926,-0.049754664,0.457092492,-0.088726089,0.128791594,-0.831389609,-0.725035156,-1.025377495
0.69871474,0.272797326,0.422713401,0.673364263,0.720667968,-0.295616861,0.49005358,-0.273076823,-1.165167829,-0.149491893,0.297582474,0.617344255
-0.155031991,0.21990439,0.399606851,-0.486505099,-0.688075638,-1.517449938,-0.429719015,-1.009892372,-0.382008489,-0.840256681,0.582942467,-0.859732549
0.89513203,0.081626002,0.871373136,0.684475511,0.815051677,0.678423587,1.023426941,0.876576479,1.140962624,1.767467159,1.704685488,1.969618523
-0.928770454,-1.355946998,-1.204418168,-0.260307854,-0.586704485,-1.259005267,-1.127002883,-2.127388831,-1.062055687,0.002985112,-1.0768104,-1.614769092
0.355950388,0.20133351,2.011218258,1.63411598,0.716370919,0.722184851,0.827579903,0.551636091,1.96203409,1.512246344,-0.19330251,-1.345106339
-1.212623849,-0.87426742,-0.399876497,-0.465612234,0.084891785,-0.562174558,-0.115944694,-0.83778291,0.133928635,-0.993991424,-1.40035491,-2.586340676
-0.944780098,-1.367336991,-0.825336942,-1.35640474,-0.597741028,-1.125640221,-1.076937534,-1.785870652,-1.883970101,-0.620943582,-1.246199103,-0.811961521
0.243249994,1.362793033,0.119710401,1.596538317,0.115382079,-0.417801255,-0.132481953,-0.450217617,-0.019851655,-0.109038358,1.23509309,0.343317909
0.001581287,1.558803897,-0.045293695,0.292912887,-0.199767954,0.906142344,-0.13776966,0.004317124,-0.091991552,0.156771259,0.298078444,-1.801862734
0.715214934,-0.363243151,0.174723993,0.575862711,-0.224033686,0.446489992,0.862149626,0.463559061,1.346582295,-1.183450676,-0.039823929,0.769969347
0.22762758,0.763644547,0.295907369,0.707061748,1.298748762,0.346052407,0.910462671,-0.05629768,-0.124556641,0.37527414,0.294357221,0.292755031
0.544063367,0.547845368,0.241384362,0.576220052,1.033697442,-0.193063129,0.515215985,0.155874895,1.196040262,-0.418654033,0.157317681,0.354069733
-0.79454386,-0.788978245,0.078414435,0.559691477,-0.178583397,-1.246322986,-0.454576299,-0.823194364,-0.284489699,-1.288656079,-0.316061802,1.082812245
1.330980047,2.081751023,-0.230451503,-0.27305496,0.140996517,0.40140197,-0.592024922,-0.517377444,-0.027059274,-1.299200469,0.958472579,0.621595348
0.037711192,-0.111751674,-0.628388858,-1.729259104,-1.146460258,-0.132194524,-0.090437858,-1.007733721,-0.132574273,1.066908469,-1.318763644,-2.019782682
0.171297491,1.119705532,-0.146743732,0.592421355,0.464626031,-0.532446231,-0.143593098,0.265969402,-0.721386216,0.167599236,0.227388936,0.795796218
0.347400629,-0.601830708,-0.494950701,-0.230940455,-1.054370736,-0.66351711,0.051768968,0.338816546,-0.126886573,-1.18407957,-0.286652518,-0.085057903
1.440864813,1.053765627,1.675561915,-0.398329269,-0.044088684,0.486537454,1.597842884,0.570537637,1.196832066,0.407185495,1.906346067,1.148216426
-0.826786541,0.709559572,-0.924616816,0.173956931,-1.055319326,-0.4914515,-0.070276179,-0.065076986,0.035252127,0.127393342,0.096894423,0.478368499
1.144122135,0.576108297,-0.283868854,0.871241407,-0.352483596,0.773299017,0.574778734,0.566183584,1.687884783,-0.094864486,0.406973374,1.23062493
0.547421233,0.856772214,3.066247883,1.213235957,0.780733771,0.684545402,0.977931614,1.607418108,1.798775147,2.250894593,2.305658361,2.127385666
0.762774831,0.242057277,0.525812717,1.002466038,-0.199435541,1.205668453,0.823238123,0.931052371,0.690562327,1.152358478,0.56752436,-0.13587212
-0.192104686,-0.328168483,1.806432159,0.900825839,-0.042412312,-0.443366768,0.241040186,0.380988249,0.267956496,0.157743647,0.542390948,0.487994271
-0.758273356,-0.005696263,-0.295563131,-0.871554284,-1.226725728,1.047040281,-0.176894942,-0.109588652,-0.229085775,0.150305074,-0.419651759,-0.568340142
1.382924559,0.874163136,-0.442453094,0.80166907,-0.139937105,1.294983062,1.173466278,1.20924759,1.935563891,-0.634417551,0.124932022,1.16805936
1.640013122,1.034206063,0.439185412,-0.147646302,0.338336769,0.591133896,0.132087075,-0.042748357,1.345276198,0.691196757,0.841824884,1.072014471
-0.161742275,-1.116544695,-0.295810986,-1.032438137,-1.457078022,-1.228910359,-1.527735349,-1.757219372,-2.028649848,-0.959949752,-1.240420754,-1.299192454
1.164766996,1.260695345,2.113095711,0.741588967,1.277010255,-1.200273635,-1.056379758,-1.724760464,-0.930928405,-0.757077857,1.530460134,1.274570667
-0.738799611,-0.108839731,0.559479532,-1.214951061,0.244847026,-0.26811084,-1.125523337,-1.007719555,-0.838988392,-0.790529287,-0.985289753,0.403346456
-0.428709852,0.509642343,-0.742030271,-0.210408195,0.331318575,1.416443765,0.14918698,0.521671742,0.577122566,1.278786864,-0.303442469,-1.531144748
0.569863016,-0.606386736,0.429634156,-1.568788109,-1.583329367,-0.75231881,-0.069843509,-0.292639978,-0.827913936,-0.496216251,1.207727003,0.336859362
0.707518223,-0.261196548,0.887465705,-0.262478422,0.26796262,1.218274382,2.530215785,2.504600292,1.587480448,0.348346367,1.109513648,0.570911121
-1.182263087,-0.486019419,-1.029903217,1.00509956,0.155011874,0.337011598,1.476643187,0.082951308,0.393932235,1.660519396,-0.2292333,0.031236749
0.171368144,0.969716982,0.581716909,-0.04898003,-0.181444673,-0.21766798,-0.539231602,-0.071252126,-0.169013344,0.264058388,1.39601153,1.192880213
